generation,energy
0,20.675255704394353
1,43.68738938476273
2,71.92627657233379
3,72.75484800090521
4,87.20058005087778
5,100.09276328995466
6,100.09276328995468
7,102.69308971214375
8,136.28789042289378
9,136.28789042289378
10,136.28789042289378
11,136.28789042289378
12,136.28789042289378
13,136.28789042289378
14,136.28789042289378
15,136.28789042289378
16,136.28789042289378
17,136.28789042289378
18,136.28789042289378
19,139.70908130322644
20,139.70908130322644
21,139.70908130322644
22,139.70908130322644
23,139.70908130322644
24,139.70908130322644
25,139.70908130322644
26,139.70908130322644
27,139.70908130322644
28,139.70908130322644
29,139.70908130322644
30,139.70908130322644
31,139.70908130322644
32,139.70908130322644
33,139.70908130322644
34,139.70908130322644
35,139.70908130322644
36,139.70908130322644
37,139.70908130322644
38,139.70908130322644
39,139.70908130322644
40,139.70908130322644
41,139.70908130322644
42,139.70908130322644
43,139.70908130322644
44,139.70908130322644
45,139.70908130322644
46,139.70908130322644
47,139.70908130322644
48,139.70908130322644
49,139.70908130322644
50,139.70908130322644
51,139.70908130322644
52,139.70908130322644
53,139.70908130322644
54,139.70908130322644
55,139.70908130322644
56,139.70908130322644
57,139.70908130322644
58,139.70908130322644
59,139.70908130322644
60,139.70908130322644
61,139.70908130322644
62,139.70908130322644
63,139.70908130322644
64,139.70908130322644
65,139.70908130322644
66,139.70908130322644
67,139.70908130322644
68,139.70908130322644
69,139.70908130322644
70,139.70908130322644
71,139.70908130322644
72,139.70908130322644
73,139.70908130322644
74,139.70908130322644
75,139.70908130322644
76,139.70908130322644
77,139.70908130322644
78,139.70908130322644
79,139.70908130322644
80,139.70908130322644
81,139.70908130322644
82,139.70908130322644
83,139.70908130322644
84,139.70908130322644
85,139.70908130322644
86,139.70908130322644
87,139.70908130322644
88,139.70908130322644
89,139.70908130322644
90,139.70908130322644
91,139.70908130322644
92,139.70908130322644
93,139.70908130322644
94,139.70908130322644
95,139.70908130322644
96,139.70908130322644
97,139.70908130322644
98,139.70908130322644
99,139.70908130322644
